schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,Prefix Sliding for efficient test-time scaling,"['Niklas Muennighoff', 'Zhengyang Wang', 'Zeyi Chen', 'Weijia Shi', 'Binyuan Hui', 'John Yang', 'Dapeng Jiang', 'Mika Senghaas', 'Fares Obeid', 'Johannes Hagemann', 'Sami Jaghouar', 'Ludwig Schmidt', 'Percy Liang', 'Jason Wei', 'Andrew Y. Ng', 'Luke Zettlemoyer', 'Yejin Choi', 'Mike Lewis']",http://arxiv.org/abs/2608.26070v1,https://github.com/Muennighoff/prefix-sliding,6813,2026-08-26T17:37:15+00:00,2026-08-27T12:41:45.295063+00:00
1.0,RESEARCH_PAPER,Fine-Tuning Whisper for Automatic Speech Recognition in Baniwa: A Preliminary Study,"['Leonardo Duart', 'Tiago Fonseca', 'Thiago Chacón']",http://arxiv.org/abs/2608.26060v1,https://github.com/ai-research/fine-tuning-whisper-for-a,7207,2026-08-26T17:29:47+00:00,2026-08-27T12:41:45.295080+00:00
1.0,RESEARCH_PAPER,$R^3$: Training Robots to Reason in Natural Language via Reinforcement Learning,"['Lehong Wu', 'Yuxiao Qu', 'Zheyuan Hu', 'Ivan Zhang', 'Limin Wei', 'Zackory Erickson', 'Aviral Kumar']",http://arxiv.org/abs/2608.26053v1,https://github.com/ai-research/-r-3---training-robots-to,1424,2026-08-26T17:25:10+00:00,2026-08-27T12:41:45.295104+00:00
1.0,RESEARCH_PAPER,How Much Rank Does LoRA Need? Rank-Error Bounds for Transformer Attention,['Gerard Conangla Planes'],http://arxiv.org/abs/2608.26052v1,https://github.com/ai-research/how-much-rank-does-lora-n,8583,2026-08-26T17:25:03+00:00,2026-08-27T12:41:45.295121+00:00
1.0,RESEARCH_PAPER,The Value of Human Expertise,['Bradley Sturt'],http://arxiv.org/abs/2608.26051v1,https://github.com/ai-research/the-value-of-human-expert,1665,2026-08-26T17:24:52+00:00,2026-08-27T12:41:45.295137+00:00
1.0,RESEARCH_PAPER,Trace Integrity for LLM Data Agents: A Vision for Auditable Structured Reasoning in Real-World Systems,"['Srimonti Dutta', 'Akshata Kishore Moharir']",http://arxiv.org/abs/2608.26036v1,https://github.com/ai-research/trace-integrity-for-llm-d,6142,2026-08-26T17:15:24+00:00,2026-08-27T12:41:45.295156+00:00
1.0,RESEARCH_PAPER,Beyond Local Surprise: Grounded Dialogue as Selective Belief Revision under Referential Uncertainty,"['Ziming Liu', 'Bhanu Chaitanya Jasti', 'Ziyang Xu', 'Hongyu Wu', 'Yi Wu', 'Jiqun Liu']",http://arxiv.org/abs/2608.26035v1,https://github.com/ai-research/beyond-local-surprise--gr,1597,2026-08-26T17:13:46+00:00,2026-08-27T12:41:45.295172+00:00
1.0,RESEARCH_PAPER,DualOPSD: Adaptive Privileged Teachers for On-Policy Self-Distillation,"['Yutong Chen', 'Guangfu Guo', 'Zhichao Xu', 'Kunpeng Liu']",http://arxiv.org/abs/2608.26019v1,https://github.com/ai-research/dualopsd--adaptive-privil,6010,2026-08-26T17:01:21+00:00,2026-08-27T12:41:45.295187+00:00
1.0,RESEARCH_PAPER,VISA: Agentic Self-Evolving Data Synthesis for Multimodal Instruction Following,"['Min Zeng', 'Guanxin Tan', 'Libin Cen', 'Yawei Wen', 'Rui Hu', 'Liuyang Bian', 'Xiaolong Chen', 'Xiaoxin Chen']",http://arxiv.org/abs/2608.26013v1,https://github.com/ai-research/visa--agentic-self-evolvi,7103,2026-08-26T16:55:58+00:00,2026-08-27T12:41:45.295203+00:00
1.0,RESEARCH_PAPER,Imitation Learning for Connection-Tableau Construction,"['Fredrik Rømming', 'Mantas Bakšys', 'Martin S. Fixman', 'Sean B. Holden']",http://arxiv.org/abs/2608.26009v1,https://github.com/ai-research/imitation-learning-for-co,2229,2026-08-26T16:53:25+00:00,2026-08-27T12:41:45.295218+00:00
1.0,RESEARCH_PAPER,A Self-Evolving Multi-Agent Framework Defense against LLM Jailbreak Attacks,"['Tongyan Hu', 'Bryan Hooi']",http://arxiv.org/abs/2608.26008v1,https://github.com/ai-research/a-self-evolving-multi-age,2348,2026-08-26T16:52:06+00:00,2026-08-27T12:41:45.295233+00:00
1.0,RESEARCH_PAPER,VoiceMem: Streaming Dual-Brain Memory for Real-Time Interaction,"['Zhifei Xie', 'Jiaqi Lang', 'Ze An', 'Yifan Zhao', 'Dongchao Yang', 'Kai Li', 'Ziyang Ma', 'Mingbao Lin', 'Chunyan Miao', 'Shuicheng Yan']",http://arxiv.org/abs/2608.26005v1,https://github.com/ai-research/voicemem--streaming-dual-,1514,2026-08-26T16:50:05+00:00,2026-08-27T12:41:45.295248+00:00
1.0,RESEARCH_PAPER,AsymSpec: Context-Asymmetric Speculative Decoding for Agentic LLMs,"['Sheng Liang', 'Yongyue Zhang', 'Nathanael Brian', 'Hang Lv', 'Hao Wang', 'Chen Zhang', 'Yong Liu']",http://arxiv.org/abs/2608.26004v1,https://github.com/ai-research/asymspec--context-asymmet,8519,2026-08-26T16:50:02+00:00,2026-08-27T12:41:45.295267+00:00
1.0,RESEARCH_PAPER,Distinct dynamics of conceptual and referential disruptions in human reading and large language model processing,"['Rui He', 'Nihal Altay', 'Wolfram Hinzen']",http://arxiv.org/abs/2608.25999v1,https://github.com/ai-research/distinct-dynamics-of-conc,8598,2026-08-26T16:47:48+00:00,2026-08-27T12:41:45.295289+00:00
1.0,RESEARCH_PAPER,ProgRouter: Online Progress-Guided Orchestration for Multi-Agent LLM Workflows under Quality-Cost Tradeoffs,"['Somgyuan Li', 'Ahmed M. Abdelmoniem', 'Shiqiang Wang']",http://arxiv.org/abs/2608.25992v1,https://github.com/ai-research/progrouter--online-progre,8239,2026-08-26T16:42:02+00:00,2026-08-27T12:41:45.295308+00:00
1.0,RESEARCH_PAPER,Multi-Granularity Context-Enhanced RAG over Multimodal Knowledge Graphs,"['Zongyu Wu', 'Yilong Wang', 'Xiaochen Wang', 'Minhua Lin', 'Zhichao Xu', 'Fenglong Ma', 'Xiang Zhang', 'Suhang Wang']",http://arxiv.org/abs/2608.25986v1,https://github.com/ai-research/multi-granularity-context,6391,2026-08-26T16:38:02+00:00,2026-08-27T12:41:45.295324+00:00
1.0,RESEARCH_PAPER,FRAME: separating sampling variation from representational cause in medical imaging fairness,"['Mahshad Lotfinia', 'Daniel Truhn', 'Andreas Maier', 'Soroosh Tayebi Arasteh']",http://arxiv.org/abs/2608.25981v1,https://github.com/ai-research/frame--separating-samplin,7746,2026-08-26T16:34:33+00:00,2026-08-27T12:41:45.295341+00:00
1.0,RESEARCH_PAPER,When Personality Meets Quantization: A Layer-wise MBTI Analysis of Quantized LLMs,"['Yao Fu', 'Lijia Huang', 'Xiaomin Li', 'Runchao Li', 'Yu Yin', 'Kenneth A. Loparo']",http://arxiv.org/abs/2608.25977v1,https://github.com/ai-research/when-personality-meets-qu,2312,2026-08-26T16:32:50+00:00,2026-08-27T12:41:45.295357+00:00
1.0,RESEARCH_PAPER,Lost but not erased: Finding traces of a forgotten language in neural speech models,"['Peter Plantinga', 'Charlotte Moore', 'Peter W. Donhauser', 'Krista Byers-Heinlein', 'Denise Klein']",http://arxiv.org/abs/2608.25976v1,https://github.com/ai-research/lost-but-not-erased--find,7775,2026-08-26T16:32:41+00:00,2026-08-27T12:41:45.295373+00:00
1.0,RESEARCH_PAPER,SciMIF: Understanding Multimodal Instruction Following in Scientific Domains,"['Ye Shen', 'Yuting Zheng', 'Dun Pei', 'Zijian Chen', 'Wenlong Zhang', 'Qi Jia', 'Guangtao Zhai']",http://arxiv.org/abs/2608.25973v1,https://github.com/shenye7436/SciMIF,6116,2026-08-26T16:30:20+00:00,2026-08-27T12:41:45.295382+00:00
1.0,RESEARCH_PAPER,"PANDA - Prototype-Anchored Alignment for Partially Unpaired Multimodal Learning, with Applications to Alzheimers MRI and TCGA Pathology","['Sheethal Bhat', 'Mahfuzur Rahman Chowdhury', 'Paula Andrea Perez-Toro', 'Stephan Wunderlich', 'Rose Dawn Bharat', 'Siming Bayer', 'Andreas Maier']",http://arxiv.org/abs/2608.25970v1,https://github.com/ai-research/panda---prototype-anchore,5240,2026-08-26T16:28:20+00:00,2026-08-27T12:41:45.295402+00:00
1.0,RESEARCH_PAPER,Quantitative Analysis of $ω$-Regular Robust MDPs,"['Ali Asadi', 'Krishnendu Chatterjee', 'Ehsan Kafshdar Goharshady', 'Mehrdad Karrabi', 'Alipasha Montaseri', 'Ali Shafiee']",http://arxiv.org/abs/2608.25968v1,https://github.com/ai-research/quantitative-analysis-of-,2842,2026-08-26T16:26:13+00:00,2026-08-27T12:41:45.295424+00:00
1.0,RESEARCH_PAPER,LivingRAG: Augmenting Graph RAG with Experience,"['Yuzhuo Cui', 'Zongye Zhang', 'Qingjie Liu']",http://arxiv.org/abs/2608.25960v1,https://github.com/ai-research/livingrag--augmenting-gra,5996,2026-08-26T16:21:06+00:00,2026-08-27T12:41:45.295438+00:00
1.0,RESEARCH_PAPER,Unveiling Spectral Mechanisms in Training-Free LLM Text Detection,"['Haitong Luo', 'Xuying Meng', 'Weiyao Zhang', 'Wenji Zou', 'Shengfeng Lou', 'Xuefeng Jiang', 'Chungang Lin', 'Yujun Zhang']",http://arxiv.org/abs/2608.25944v1,https://github.com/ai-research/unveiling-spectral-mechan,7718,2026-08-26T16:01:17+00:00,2026-08-27T12:41:45.295454+00:00
1.0,RESEARCH_PAPER,A Statistical Audit of Physical AI Benchmark Redundancy,"['Zaruhi Navasardyan', 'Hrant Davtyan']",http://arxiv.org/abs/2608.25940v1,https://github.com/ai-research/a-statistical-audit-of-ph,4240,2026-08-26T15:54:15+00:00,2026-08-27T12:41:45.295471+00:00
1.0,RESEARCH_PAPER,Candidate supply and answer selection shape the value of LLM judging in multi-agent systems,"['Jia-Hao Ji', 'Sijie Li', 'Jiabei Cheng', 'Zixi She', 'Jin-Tai Yu', 'Zhiyuan Yuan']",http://arxiv.org/abs/2608.25937v1,https://github.com/ai-research/candidate-supply-and-answ,6025,2026-08-26T15:52:20+00:00,2026-08-27T12:41:45.295489+00:00
1.0,RESEARCH_PAPER,"One Symptom, Three Levers: A Critical Review of On-Policy Self-Distillation","['Justin Robert', 'Raheel Qader']",http://arxiv.org/abs/2608.25936v1,https://github.com/ai-research/one-symptom--three-levers,4268,2026-08-26T15:52:19+00:00,2026-08-27T12:41:45.295508+00:00
1.0,RESEARCH_PAPER,TAU-Agent: An Agentic Retrieval-Augmented Framework for Traffic Anomaly Understanding,"['Yuqiang Lin', 'Yan Shi', 'Sam Lockyer', 'Harish Tayyar Madabushi', 'Adrian Evans', 'Wenbin Li', 'Yinhai Wang', 'Nic Zhang']",http://arxiv.org/abs/2608.25935v1,https://github.com/siri-rouser/TAU-Agent.,8521,2026-08-26T15:50:38+00:00,2026-08-27T12:41:45.295517+00:00
1.0,RESEARCH_PAPER,How Robust Are Automated Fact-Checking Systems? A Cross-Benchmark Evaluation,"['Aida Usmanova', 'Zangir Iklassov', 'Markus Leippold', 'Ricardo Usbeck']",http://arxiv.org/abs/2608.25934v1,https://github.com/ai-research/how-robust-are-automated-,3958,2026-08-26T15:50:10+00:00,2026-08-27T12:41:45.295533+00:00
1.0,RESEARCH_PAPER,When Composition Doesn't Add Up: Humans Identifying Defects in AI-Generated Images,"['Ruoqi Hu', 'Chulin Zhao', 'Jiashuo Chang', 'Ramon Ruiz-Dolz', 'Hanhe Lin']",http://arxiv.org/abs/2608.25933v1,https://github.com/Future-IQA/CO-AID,4037,2026-08-26T15:47:47+00:00,2026-08-27T12:41:45.295545+00:00
1.0,RESEARCH_PAPER,Code World Model: Coding Agent as World Brain,"['Yiwen Chen', 'Guosheng Lin', 'Chi Zhang']",http://arxiv.org/abs/2608.25927v1,https://github.com/ai-research/code-world-model--coding-,4903,2026-08-26T15:37:33+00:00,2026-08-27T12:41:45.295558+00:00
1.0,RESEARCH_PAPER,"Formal, Executable and Explainable Runtime Monitoring of Spoken Air Traffic Control Operational Procedures","['Roberto Luvini', 'Giacomo Longo', 'Alessandro Armando', 'Enrico Russo']",http://arxiv.org/abs/2608.25926v1,https://github.com/ai-research/formal--executable-and-ex,829,2026-08-26T15:37:00+00:00,2026-08-27T12:41:45.295577+00:00
1.0,RESEARCH_PAPER,Query-Side Attacks on GNN-Based KGQA: Tracing Failures from Entity Linking to Answer Generation,"['Pankaj Kumar', 'Subhankar Mishra']",http://arxiv.org/abs/2608.25922v1,https://github.com/ai-research/query-side-attacks-on-gnn,5691,2026-08-26T15:34:29+00:00,2026-08-27T12:41:45.295594+00:00
1.0,RESEARCH_PAPER,Repair or Resample? Rethinking Failure Debugging in LLM Multi-Agent Systems,"['Zhongwen Luan', 'Xiaoyu Zhang', 'Ming Hu', 'Yue Yang', 'Jiongchi Yu', 'Xiaohong Chen']",http://arxiv.org/abs/2608.25920v1,https://github.com/ai-research/repair-or-resample--rethi,7190,2026-08-26T15:33:47+00:00,2026-08-27T12:41:45.295610+00:00
1.0,RESEARCH_PAPER,Choose Your Game Wisely: Measuring Game-Theoretic Structures in Real-World Vehicle Interactions,"['Yueyuan Li', 'Rongcheng Nie', 'Weijie Xi', 'Mingyang Jiang', 'Songan Zhang', 'Hanyang Zhuang', 'Ming Yang']",http://arxiv.org/abs/2608.25917v1,https://github.com/ai-research/choose-your-game-wisely--,3488,2026-08-26T15:32:46+00:00,2026-08-27T12:41:45.295630+00:00
1.0,RESEARCH_PAPER,SAMpLE: A SystemC-AMS Machine LEarning-based Framework for Virtual Prototyping,"['Andrei Mihai Albu', 'Sara Vinco']",http://arxiv.org/abs/2608.25910v1,https://github.com/ai-research/sample--a-systemc-ams-mac,7477,2026-08-26T15:26:21+00:00,2026-08-27T12:41:45.295645+00:00
1.0,RESEARCH_PAPER,One Form to Transfer Them All: Pretraining Multilingual Language Models Beyond Native Orthography,"['Muge Zhang', 'Aaron Jencks', 'Krishna Badikela', 'Yulia Tsvetkov', 'Sachin Kumar']",http://arxiv.org/abs/2608.25904v1,https://github.com/ai-research/one-form-to-transfer-them,8039,2026-08-26T15:23:18+00:00,2026-08-27T12:41:45.295662+00:00
1.0,RESEARCH_PAPER,Towards A Unified Information Bottleneck Framework for Time Series Explanations,"['Xu Zheng', 'Zichuan Liu', 'Zhuomin Chen', 'Mayur Akewar', 'Janki Bhimani', 'Jason Liu', 'Mo Sha', 'Jingchao Ni', 'Wei Cheng', 'Dongsheng Luo']",http://arxiv.org/abs/2608.25897v1,https://github.com/ai-research/towards-a-unified-informa,5993,2026-08-26T15:14:52+00:00,2026-08-27T12:41:45.295678+00:00
1.0,RESEARCH_PAPER,From Passive Response to Proactive Correction: Enhancing LLM Robustness Against Input Fact Perturbations,"['Ping Wang', 'Xiangguo Sun', 'Bingbing Xu', 'Guocong Li', 'Xiaofeng Meng']",http://arxiv.org/abs/2608.25894v1,https://github.com/ai-research/from-passive-response-to-,1147,2026-08-26T15:13:50+00:00,2026-08-27T12:41:45.295697+00:00
1.0,RESEARCH_PAPER,Loss-Based Active Learning for Neural Abstractive Summarization,"['Michail Ioannou', 'Tatiana Passali', 'George Michalopoulos', 'Grigorios Tsoumakas']",http://arxiv.org/abs/2608.25881v1,https://github.com/ai-research/loss-based-active-learnin,5065,2026-08-26T14:52:47+00:00,2026-08-27T12:41:45.295732+00:00
1.0,RESEARCH_PAPER,Anchoring Bias in LLM-as-a-Judge Systems: Prior Scores Compromise Evaluation Independence,"['Ante Kapetanovic', 'Kemal Altwlkany', 'Andro Mercep', 'Tomislav Duricic', 'Emanuel Lacic']",http://arxiv.org/abs/2608.25869v1,https://github.com/ai-research/anchoring-bias-in-llm-as-,5396,2026-08-26T14:41:24+00:00,2026-08-27T12:41:45.295750+00:00
1.0,RESEARCH_PAPER,Unlocking Multimodal Protein Language Models at Inference Time,"['Yi Zhou', 'Qipeng Wang', 'Yunqing Liu', 'Jun Xia', 'Qing Li', 'Wenqi Fan']",http://arxiv.org/abs/2608.25855v1,https://github.com/ai-research/unlocking-multimodal-prot,3291,2026-08-26T14:29:06+00:00,2026-08-27T12:41:45.295765+00:00
1.0,RESEARCH_PAPER,"Key Point Analysis Needs Structure Recovery: Task Definition, Dataset Diagnosis, and a Structure-Aware Benchmark","['Zhiqiang Shi', 'Oana Cocarascu']",http://arxiv.org/abs/2608.25854v1,https://github.com/ai-research/key-point-analysis-needs-,1881,2026-08-26T14:29:05+00:00,2026-08-27T12:41:45.295783+00:00
1.0,RESEARCH_PAPER,Why ML-based cough models do not generalize: a systematic cross-dataset evaluation for tuberculosis screening,"['Wensi Zhang', 'Tomas Teijeiro', 'Jérôme Thevenot', 'David Atienza']",http://arxiv.org/abs/2608.25846v1,https://github.com/ai-research/why-ml-based-cough-models,938,2026-08-26T14:22:32+00:00,2026-08-27T12:41:45.295801+00:00
1.0,RESEARCH_PAPER,VINCENT: Validated Interaction Network for Cross-drug Explanation of Therapeutics,"['Fan-Sheng Chuang', 'Xuchen Li', 'Yujing Bian', 'Kaixiong Zhou']",http://arxiv.org/abs/2608.25841v1,https://github.com/ai-research/vincent--validated-intera,2528,2026-08-26T14:18:35+00:00,2026-08-27T12:41:45.295817+00:00
1.0,RESEARCH_PAPER,Missing the Butterfly and Predicting the Past: Features or Bugs of Accurate AI Weather Models?,"['Pedram Hassanzadeh', 'Weidong Li', 'Y. Qiang Sun', 'Jiangdi Wang', 'Alexander Wikner', 'Justin Finkel', 'Jonathan Q. Weare']",http://arxiv.org/abs/2608.25835v1,https://github.com/ai-research/missing-the-butterfly-and,373,2026-08-26T14:14:01+00:00,2026-08-27T12:41:45.295834+00:00
1.0,RESEARCH_PAPER,Skill Issue: Are Skills Language-Invariant in LLMs?,"['Bobby Cheng', 'Adam Gaber', 'Zhengyuan Liu', 'Catherine Arnett', 'Omer Goldman', 'Cheston Tan', 'Leshem Choshen']",http://arxiv.org/abs/2608.25832v1,https://github.com/ai-research/skill-issue--are-skills-l,2358,2026-08-26T14:12:29+00:00,2026-08-27T12:41:45.295848+00:00
1.0,RESEARCH_PAPER,Unfolding Scientific Papers into Multi-Turn Generation Trajectories for Continued Pre-Training,"['Qiankai Xu', 'Qiguang Chen', 'Zixin Su', 'Wenhao Huang', 'Yue Gao', 'Jiaheng Liu', 'Ge Zhang']",http://arxiv.org/abs/2608.25826v1,https://github.com/ai-research/unfolding-scientific-pape,6192,2026-08-26T14:06:29+00:00,2026-08-27T12:41:45.295865+00:00
1.0,RESEARCH_PAPER,Localize-Then-Decide Guarantees for LLM Judgments,"['Xinyu Li', 'Yi Zhou', 'Guanqun Cao', 'Zeyu Fu', 'Tianjin Huang', 'Gaojie Jin']",http://arxiv.org/abs/2608.25824v1,https://github.com/ai-research/localize-then-decide-guar,1460,2026-08-26T14:04:37+00:00,2026-08-27T12:41:45.295879+00:00
1.0,RESEARCH_PAPER,LocalLSTC: A Long Short-Term Control Architecture for Locally Deployed GUI Agents,"['Weiming Li', 'Helen Paik', 'Yulei Sui']",http://arxiv.org/abs/2608.25777v1,https://github.com/ai-research/locallstc--a-long-short-t,544,2026-08-26T13:20:27+00:00,2026-08-27T12:41:45.295895+00:00
1.0,RESEARCH_PAPER,EVOMAL: Self-Poisoning in Self-Evolving Coding Agents,"['Xiaodong Wu', 'Yu Shi', 'Qi Li', 'Zhimin Zhao', 'Xiangman Li', 'Bram Adams', 'Ahmed E. Hassan', 'Jianbing Ni']",http://arxiv.org/abs/2608.25776v1,https://github.com/ai-research/evomal--self-poisoning-in,3969,2026-08-26T13:19:12+00:00,2026-08-27T12:41:45.295909+00:00
1.0,RESEARCH_PAPER,ToST: A Tree-of-Thought Socratic Teaching Framework for Multi-Path Guidance and Parallel Thinking,"['Feng Ling', 'Heng Yu']",http://arxiv.org/abs/2608.25775v1,https://github.com/ai-research/tost--a-tree-of-thought-s,1990,2026-08-26T13:18:36+00:00,2026-08-27T12:41:45.295925+00:00
1.0,RESEARCH_PAPER,MoganBert-TR: A Turkish Encoder Foundation Model Trained from Scratch with a CLM-to-MLM Curriculum,"['Furkan Yilmaz', 'Habibe Aleyna Tasdemir', 'Muhammed Faruk Gozay']",http://arxiv.org/abs/2608.25768v1,https://github.com/ai-research/moganbert-tr--a-turkish-e,7801,2026-08-26T13:12:51+00:00,2026-08-27T12:41:45.295942+00:00
1.0,RESEARCH_PAPER,"Beam Search, Self-Consistency, and the Limits of Inference-Time Scaling for Grammar-Constrained Text-to-SQL in Small Language Models","['Ty Chermsirivatana', 'John MacCormick']",http://arxiv.org/abs/2608.25761v1,https://github.com/ai-research/beam-search--self-consist,5141,2026-08-26T13:07:06+00:00,2026-08-27T12:41:45.295963+00:00
1.0,RESEARCH_PAPER,TailSFT: Filtered Fine-Tuning Improves Post-Training Performance,"['Sadhika Malladi', 'Samy Jelassi', 'Dylan Foster', 'Jordan T. Ash', 'Akshay Krishnamurthy']",http://arxiv.org/abs/2608.25756v1,https://github.com/ai-research/tailsft--filtered-fine-tu,6104,2026-08-26T13:04:08+00:00,2026-08-27T12:41:45.295977+00:00
1.0,RESEARCH_PAPER,Why Does Graph Learning Fail to Fully Benefit from a Text Teacher?,"['Fumiaki Kimino', 'Ryoma Sato']",http://arxiv.org/abs/2608.25741v1,https://github.com/ai-research/why-does-graph-learning-f,1067,2026-08-26T12:51:30+00:00,2026-08-27T12:41:45.295993+00:00
1.0,RESEARCH_PAPER,MeMark: Membrane-Space Watermarking for Spiking Neural Networks,"['Roberto Riaño', 'Gorka Abad', 'Stjepan Picek', 'Aitor Urbieta']",http://arxiv.org/abs/2608.25738v1,https://github.com/ai-research/memark--membrane-space-wa,3856,2026-08-26T12:50:09+00:00,2026-08-27T12:41:45.296008+00:00
